69,69(體位)
ene_(kagerou_project),榎本貴音（陽炎計畫）
enma_ai,閻魔愛
enoshima_junko,江之島盾子
enterprise_(azur_lane),企業（碧藍航線）
error_musume,報錯娘
erwin_(girls_und_panzer),松本裏子
eva_01,初號機
eva_02,二號機
exusiai_(arknights),能天使
failure_penguin,失敗的企鵝
female_protagonist_(pokemon_go),女トレーナー(ポケモンGO)
female_saniwa_(touken_ranbu),女審神者
flandre_scarlet,芙蘭朵露•斯卡蕾特
formidable_(azur_lane),可畏(碧藍航線)
frankenstein's_monster_(fate),フランケンシュタイン(Fate)
fubuki_(one-punch_man),地獄吹雪
fujibayashi_kyou,藤林杏
fujimaru_ritsuka_(female),咕噠子
fujimaru_ritsuka_(male),咕噠男
fujimura_taiga,藤村大河
fujisaki_chihiro,不二咲千尋
fujiwara_chika,藤原千花
fujiwara_no_mokou,藤原妹紅
fukuji_mihoko,福路美穗子
fukuzawa_yumi,福澤祐巳
funami_yui,船見結衣
furude_rika,古手梨花
furudo_erika,古戸ヱリカ
furukawa_nagisa,古河渚
furutani_himawari,古穀向日葵
futaba_anzu,雙葉杏
futami_ami,雙海亞美
futami_mami,雙海真美
futatsuiwa_mamizou,二ッ岩マミゾウ
fuura_kafuka,風浦可符香
galko,ギャル子
gamagoori_ira,蟇郡苛
ganaha_hibiki,我那霸響
garnet_til_alexandros_xvii,ガーネット・ティル・アレクサンドロス17世
gasai_yuno,我妻由乃
gokotai,五虎退
gokou_ruri,五更瑠璃
hachikuji_mayoi,八九寺真宵
hacka_doll_3,ハッカドール3號
hagiwara_yukiho,萩原雪歩
hakurei_reimu,博麗靈夢
hakuryuu_(inazuma_eleven),白竜
hammann_(azur_lane),哈曼(碧藍航線)
hanamura_yousuke,花村陽介
hanasaki_tsubomi,花咲つぼみ
hanekawa_tsubasa,羽川翼
hanyuu,羽入
haramura_nodoka,原村和
harime_nui,針目縫
haruno_haruka,春野はるか
haruno_sakura,春野サクラ
hasegawa_kobato,羽瀬川小鳩
hassan_of_serenity_(fate),寧靜的哈桑（命運）
hata_no_kokoro,秦こころ
hatoba_tsugu,鳩羽つぐ
hatsune_miku,初音未來
hatsune_miku_(append),初音ミクappend
hayami_kanade,速水奏
hayasaka_mirei,早阪美玲
hecatia_lapislazuli,ヘカーティア・ラピスラズリ
heiwajima_shizuo,平和島靜雄
heshikiri_hasebe,へし切長穀部(刀剣亂舞)
hibari_(senran_kagura),雲雀（閃亂神樂）
hidaka_ai,日高愛
hieda_no_akyuu,稗田阿求
higashi_setsuna,東せつな
higuchi_kaede,樋口楓
hiiragi_kagami,柊鏡
hiiragi_tsukasa,柊つかさ
hijiri_byakuren,聖白蓮
hikawa_hina,氷川日菜
hikawa_sayo,氷川紗夜
himejima_akeno,姬島朱乃
himekaidou_hatate,姫海棠はたて
himekawa_yuki,姫川友紀
hina_ichigo,雛苺
hinanawi_tenshi,比那名居天子
hinata_hideki,日向
hinata_hajime,日向創
hinatsuru_ai,雛鶴あい
hino_akane_(idolmaster),日野茜
hino_akane_(smile_precure!),日野あかね
hino_rei,火野レイ
hiradaira_chisaki,比良平ちさき
hirasawa_ui,平沢憂
hirasawa_yui,平澤唯
hishikawa_rikka,菱川六花
honda_mio,本田未央
honebami_toushirou,骨喰藤四郎
hong_meiling,紅美鈴
honma_meiko,本間芽衣子
horikawa_kunihiro,堀川國広
horikawa_raiko,堀川雷鼓
hoshiguma_(arknights),星熊
hoshiguma_yuugi,星熊勇儀
hoshii_miki,星井美希
hoshimiya_ichigo,星宮いちご
hoshimiya_kate,星宮ケイト
hoshizora_miyuki,星空みゆき
hoshizora_rin,星空凜
hotarumaru,蛍丸
hoto_cocoa,保登心愛
houjou_hibiki,北條響
hojo_karen,北條加蓮
houjou_satoko,北條沙都子
houjuu_nue,封獣ぬえ
hourai_doll,蓬萊人形
houraisan_kaguya,蓬萊山輝夜
houshou_marine,寶鐘瑪琳
huang_baoling,黃寶鈴
huang_lingyin,凰鈴音
hyuuga_hinata,日向ヒナタ
ibaraki_kasen,茨木華扇
ibuki_(street_fighter),息吹
ibuki_fuuko,伊吹風子
ibuki_suika,伊吹萃香
ichigo_hitofuri,一期一振
ichihara_nina,市原仁奈
ichinose_kotomi,一ノ瀬ことみ
ichinose_shiki,一之瀨志希
i-class_destroyer,駆逐イ級
igarashi_futaba_(shiromanta),五十嵐雙葉
igarashi_kyou_(eroe),五十嵐京
ikamusume,イカ娘
ikari_shinji,碇シンジ
imaizumi_kagerou,今泉影狼
inaba_tewi,因幡てゐ
inami_mahiru,伊波まひる
inkling,インクリング
inoue_orihime,井上織姫
inubashiri_momiji,犬走椛
inugami_korone,戌神ころね
inumuta_houka,犬牟田寶火
inuyama_aoi,犬山あおい
iori_junpei,伊織順平
iori_rinko,イオリ・リン子
iroha_(samurai_spirits),いろは(侍魂)
isobe_noriko,磯辺典子
isolated_island_oni,離島棲鬼
isshiki_akane,一色あかね
isuzu_hana,五十鈴華
itoshiki_nozomu,糸色望
itsumi_erika,逸見エリカ
izayoi_aki,十六夜アキ
izayoi_liko,十六夜リコ
izayoi_sakuya,十六夜咲夜
izumi_konata,泉此方
izumi_sagiri,和泉紗霧
izumi-no-kami_kanesada,和泉守兼定
jakuzure_nonon,蛇崩乃音
japan_(hetalia),本田菊
javelin_(azur_lane),標槍(碧藍航線)
jeanne_d'arc_(fate),聖女貞德（命運）
jeanne_d'arc_(granblue_fantasy),ジャンヌダルク(神撃のバハムート)
jouga_maya,條河麻耶
jougasaki_mika,城崎美嘉
jougasaki_rika,城ヶ崎莉嘉
junketsu,神衣純潔
junko_(touhou),純子（東方）
kadotani_anzu,角穀杏
kaenbyou_rin,火焰貓燐
kafuu_chino,香風智乃
kaga_(azur_lane),加賀(碧藍航線)
kagamihara_nadeshiko,各務原なでしこ
kagamine_len,鏡音連
kagamine_rin,鏡音鈴
kagiyama_hina,鍵山雛
kagura_(gintama),神楽(銀魂)
kagurazaka_asuna,神楽阪明日菜
kaguya_luna,輝夜月
kaiou_michiru,海王みちる
kaizuka_inaho,界塚伊奈帆
kaku_seiga,霍青娥
kallen_stadtfeld,紅月カレン
kamado_nezuko,灶門禰豆子
kamijou_touma,上條當麻
kamikita_komari,神北小毬
kamio_misuzu,神尾觀鈴
kamio_reiji_(yua),神尾提督（艦C）
kamishirasawa_keine,上白沢慧音
kamiya_nao,神穀奈緒
kamui_gakupo,神威がくぽ
kaname_madoka,鹿目まどか
kanaria,金糸雀
kanbaru_suruga,神原駿河
kanna_kamui,カンナカムイ(小林さんちのメイドラゴン)
kano_shuuya,鹿野修哉
kanon_(umineko),嘉音
kanroji_mitsuri,甘露寺蜜璃
kan'u_unchou,關羽雲長
kanzaki_ranko,神崎蘭子
kariya_masaki,狩屋マサキ
karna_(fate),カルナ(Fate)
kasane_teto,重音テト
kashiwazaki_sena,柏崎星奈
kashuu_kiyomitsu,加州清光
kasodani_kyouko,幽谷響子
kasuga_ayumu,春日歩
kasugano_sakura,春日野さくら
kasumi_(doa),霞(DOA)
kasumigaoka_utaha,霞之丘詩羽
katagiri_sanae,片桐早苗
katou_asuka,加藤明日香
katou_megumi,加藤惠
katsuki_yuuri,勝生勇利
katsura_hinagiku,桂雛菊
katsuragi_misato,葛城美裏
katyusha_(girls_und_panzer),喀秋莎（少女與戰車）
kawakami_mai,川神舞
kawashima_ami,川島亞美
kawashima_momo,河嶋桃
kawashiro_nitori,河城荷取
kay_(girls_und_panzer),ケイ(GuP)
kazama_asuka,風間飛鳥
kazami_yuuka,風見幽香
kazami_yuuka_(pc-98),舊作幽香
kazanari_tsubasa,風鳴翼
kazemaru_ichirouta,風丸一郎太
kenzaki_makoto,剣崎真琴
kiana_kaslana,琪亞娜•卡斯蘭娜
kido_tsubomi,木戸つぼみ
kijin_seija,鬼人正邪
kikuchi_makoto,菊地真
kino_makoto,木野まこと
kinomoto_sakura,木之本櫻
kira_yoshikage,吉良吉影
kirigaya_suguha,桐谷直葉
kirigiri_kyouko,霧切響子
kirijou_mitsuru,桐條美鶴
kirima_syaro,桐間紗路
kirin_(armor),麒麟套
kirino_ranmaru,霧野蘭丸
kirisame_marisa,霧雨魔理沙
kirito,桐人
kiriya_aoi,霧矢あおい
kiryuuin_satsuki,鬼龍院皋月
kisaragi_(azur_lane),如月（碧藍航線）|如月
kisaragi_chihaya,如月千早
kisaragi_momo,如月モモ
kisaragi_shintarou,如月伸太郎
kise_yayoi,黃瀬やよい
kishibe_rohan,岸邊露伴
kishin_sagume,稀神サグメ
kishinami_hakuno_(female),岸波白野
kitashirakawa_tamako,北白川たまこ
kitazawa_shiho,北澤志保
kiyohime_(swimsuit_lancer)_(fate),清姫（泳裝）
kizuna_ai,絆愛
kizuna_akari,紲星あかり
koakuma,小悪魔(東方Project)
kobayakawa_rinko,小早川凜子
kobayakawa_sae,小早川紗枝
kobayakawa_yutaka,小早川ゆたか
kochiya_sanae,東風谷早苗
kochou_shinobu,蝴蝶しのぶ
kogitsunemaru,小狐丸
kohinata_miho,小日向美穂
kohinata_miku,小日向未來
koizumi_hanayo,小泉花陽
koizumi_itsuki,古泉一樹
koizumi_itsuki_(female),古泉一姫
kokonoe_rin,九重りん
komaeda_nagito,狛枝凪鬥
komaki_manaka,小牧愛佳
komeiji_koishi,古明地戀
komeiji_satori,古明地覺
kondou_taeko,近藤妙子
kongou_(aoki_hagane_no_arpeggio),コンゴウ(蒼き鋼のアルペジオ)
konjiki_no_yami,金色之暗
konno_junko,紺野純子
konpaku_youki,魂魄妖忌
konpaku_youmu,魂魄妖夢
konpaku_youmu_(ghost),半霊
koshimizu_sachiko,輿水幸子
kotegawa_yui,古手川唯
kotobuki_tsumugi,琴吹䌷
kotomine_kirei,言峰綺禮
kotonoha_akane,琴葉茜
kousaka_honoka,高阪穗乃果
kousaka_kirino,高阪桐乃
kousaka_kyousuke,高阪京介
kousaka_reina,高阪麗奈
kousaka_tamaki,向阪環
koyama_yuzu,小山柚子
kozakura_marry,小桜茉莉
kuchiki_rukia,朽木ルキア
kuga_natsuki,玖我なつき
kujikawa_rise,久慈川りせ
kujou_karen,九條カレン
kumoi_ichirin,雲居一輪
kunikida_hanamaru,國木田花丸
kuradoberi_jam,蔵土縁紗夢
kurodani_yamame,黒穀ヤマメ
kuroka_(high_school_dxd),黒歌
kurokawa_eren,黒川エレン
kuroki_tomoko,黒木智子
kurosaki_ichigo,黑崎一護
kurosawa_dia,黑澤黛雅
kurosawa_ruby,黑澤露比
kuroyukihime,黑雪姬
kurugaya_yuiko,來ヶ穀唯湖
kurumi_erika,來海えりか
kusakabe_misao,日下部みさお
kusanagi_motoko,草薙素子
kushieda_minori,櫛枝実乃梨
kusugawa_sasara,久壽川ささら
kyonko,キョン子
kyouka_(princess_connect!),氷川鏡華
laffey_(azur_lane),拉菲（碧藍航線）
lappland_(arknights),拉普蘭德
lei_lei,淚淚
lili_(tekken),リリ(鉄拳)
lilith_aensland,欲望の迷い子リリス
lillie_(pokemon),リーリエ(ポケモン)
lisbeth,篠崎裏香
little_red_riding_hood_(grimm),赤頭巾
lord_el-melloi_ii,ロード・エルメロイII世
lulu_(league_of_legends),露璐
madotsuki,窓付き
maebara_keiichi,前原圭一
maekawa_miku,前川みく
makinami_mari_illustrious,真希波・マリ・イラストリアス
makise_kurisu,牧瀬紅莉棲
manabe_nodoka,真鍋和
manjuu_(azur_lane),蠻啾（碧藍航線）
mankanshoku_mako,満艦飾マコ
maou_(maoyuu),魔王(まおゆう)
marie_(girls_und_panzer),マリー(GuP)
maruyama_aya,丸山彩
mash_kyrielight,瑪修•基列萊特
matara_okina,摩多羅隠岐奈
matoba_risa,的場梨沙
matoi_ryuuko,纏流子
matou_kariya,間桐雁夜
matou_sakura,間桐櫻
matsukaze_tenma,松風天馬
matsumoto_rangiku,松本亂菊
matsuno_choromatsu,チョロ松
matsuno_ichimatsu,松野一松
matsuno_jyushimatsu,十四松
matsuno_karamatsu,松野カラ松
matsuno_osomatsu,おそ松
matsuno_todomatsu,松野トド松
matsuura_kanan,松浦果南
mayuzumi_fuyuko,黛冬優子
medicine_melancholy,梅蒂欣
megurine_luka,巡音流歌
